#,Title,Channel,Link
1,Cardi B - Don't Do Too Much [Official Audio],Cardi B,https://www.youtube.com/watch?v=5-ueehJsBUI
2,"The Mandalorian and Grogu | Official Trailer | In Theaters May 22, 2026",Star Wars,https://www.youtube.com/watch?v=_pa1KLXuW0Y
3,Silent Hill f,CoryxKenshin,https://www.youtube.com/watch?v=UnizX4fBVag
4,Polo G - Chinatown Pt. 2 (Official Video),Polo G,https://www.youtube.com/watch?v=w31CUQrJJRQ
5,IT: Welcome to Derry | Official Trailer | HBO Max,HBO Max,https://www.youtube.com/watch?v=oKa6u7LT0qE
6,TACO TUESDAY ADMIN ABUSE + New Brainrots!,CaylusBlox,https://www.youtube.com/watch?v=sNA4aM4pm-0
7,Babyfxce E - What Bag I'm In [Official Music Video],Babyfxce E,https://www.youtube.com/watch?v=YAyfFmUASaI
8,Steel Ball Run JoJo's Bizarre Adventure Teaser Trailer,Rotten Tomatoes TV,https://www.youtube.com/watch?v=UIwBcXV29aA
9,SECRET Lucky Block Race In Steal A Brainrot..,Foltyn,https://www.youtube.com/watch?v=mSX0Lp4CRls
10,bbno$ - yezzir (official music video),bbno$,https://www.youtube.com/watch?v=oFP6tss8ODE
11,The Bride! | Official Teaser,Warner Bros.,https://www.youtube.com/watch?v=LJraZRHhFwQ
12,3 SCARY GAMES #109,Markiplier,https://www.youtube.com/watch?v=FF5uEvoHa8s
13,Zillionaire Doe - Skyami Living (Official Video),ZillionaireDoeVEVO,https://www.youtube.com/watch?v=r7bi8R_h5Sg
14,OD - KNOCK Teaser Trailer - [ESRB] 4K,KOJIMA PRODUCTIONS,https://www.youtube.com/watch?v=eHCqxLtwy5g
15,I Upgraded My OWN BRAINROT…,CashBlox,https://www.youtube.com/watch?v=PPX1rQ3dGZs
16,"Anonimus, Bryant Myers & Almighty: Toda La Vida (Video Oficial) ",Anonimus TV,https://www.youtube.com/watch?v=XjQowork5Mw
17,Call of Duty: Black Ops 7 | Multiplayer Gameplay Reveal Trailer,Call of Duty,https://www.youtube.com/watch?v=pGFYtZD53ZA
18,Steal a Brainrot Admin Abuse (Taco Tuesday),KreekCraft,https://www.youtube.com/watch?v=jzfVFo5OB2Q
19,Moon,Daniel Caesar - Topic,https://www.youtube.com/watch?v=-JTRBQq_Ve8
20,They Call Him OG Trailer - Pawan Kalyan | Emraan Hashmi | Sujeeth | Thaman S | DVV Danayya |,DVV Entertainment,https://www.youtube.com/watch?v=_8J8LwoVH_0
21,I Made The #1 CLAN in The World,Jynxzi,https://www.youtube.com/watch?v=8wtOhmusT5I
22,"Sua Lo Mala'c (feat. Nineden, Dirtheedogg & Baka Jay)",Gobby YT - Topic,https://www.youtube.com/watch?v=uh7AaPMv5yM
23,Honest Trailers | Weapons,Screen Junkies,https://www.youtube.com/watch?v=JX-FbcGhbtM
24,"A HOME INVASION Game, Based On A True Story",berleezy,https://www.youtube.com/watch?v=FWSWymoAkQw
25,C-Kan - Pordiosero (Video Oficial),ckan98,https://www.youtube.com/watch?v=ZgXv-ooUg-0
26,"STEEL BALL RUN Anime Trailer, VA Cast, Release Date!",xForts,https://www.youtube.com/watch?v=io9try_-FoI
27,HE GOT CAUGHT..,Tyler & Snowi,https://www.youtube.com/watch?v=uCrn_U4PbrU
28,Jarahn - Isa Noqu Lewa (Official Music Video) feat. Wilz,Jarahn,https://www.youtube.com/watch?v=GHnc_O0CClk
29,The Perfect Neighbor | Official Trailer | Netflix,Netflix,https://www.youtube.com/watch?v=fNp85HGJtoo
30,How Did I Get Here…,CaseOh,https://www.youtube.com/watch?v=Ye8meSYPFM0
31,"米津玄師, 宇多田ヒカル Kenshi Yonezu, Hikaru Utada -  JANE DOE",Kenshi Yonezu  米津玄師,https://www.youtube.com/watch?v=sPLqsLsooJY
32,"Evernight Trailer — ""Night Falls, Everyone, Close Your Eyes"" | Honkai: Star Rail",Honkai: Star Rail,https://www.youtube.com/watch?v=vh1ipA1aaUQ
33,sammy deleted my brainrots.. 😭,steak,https://www.youtube.com/watch?v=DTK5Uo_GKdE
34,How Was I supposed to Know?,Xania Monet - Topic,https://www.youtube.com/watch?v=emaSp37yESM
35,AVENGERS DOOMSDAY FIRST LOOK 2026,Emergency Awesome,https://www.youtube.com/watch?v=MqY14a7w6PI
36,RANDOM Lucky Block Race in Minecraft,SSundee,https://www.youtube.com/watch?v=JIlMBdr9NbU
37,Pradabagshawty - Whoa (Official Music Video),Pradabagshawty,https://www.youtube.com/watch?v=WDbkERDYqo8
38,Yakuza Kiwami 3 Trailer | RGG Summit 2025,GameSpot,https://www.youtube.com/watch?v=GA5Lec9jYuQ
39,Our Best Madden Game EVER! Wheel of MUT! Ep. #3,MMG,https://www.youtube.com/watch?v=82bXnSBy36s
40,The Neighbourhood - Sweater Weather (Lyrics),TrendingTracks,https://www.youtube.com/watch?v=LxCTdo-Sd_U
41,IT: WELCOME TO DERRY Official Final Trailer (2025),KinoCheck.com,https://www.youtube.com/watch?v=ze2tNcBh5HE
42,Chasing a Jackpot That’s Long Overdue,Vegas Matt,https://www.youtube.com/watch?v=hZ939NhQpog
43,Sexyy Red - Is You Coo (Official Music Video),Sexyy Red,https://www.youtube.com/watch?v=TwpdvOhFjgk
44,Avengers: Doomsday (2026) - First Trailer | Robert Downey Jr.,KH Studio,https://www.youtube.com/watch?v=gncCflgCRHU
45,I Paid Streamers To Do Extreme Dares...,Kai Cenat Live,https://www.youtube.com/watch?v=5UX8VbaxLzY
46,Move On,Kevin Powers - Topic,https://www.youtube.com/watch?v=hyJr_zC2GLE
47,The Hand That Rocks the Cradle | Official Trailer | Hulu,Hulu,https://www.youtube.com/watch?v=A0SFXzNMthc
48,2025 World Series of Poker Bracelet Event,CBS Sports Network,https://www.youtube.com/watch?v=0WHJvOkJcXU
49,OMB Peezy - STAY SOLID (official video),OMB Peezy,https://www.youtube.com/watch?v=f9jGVltB4ng
